Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%35~x~=45,C wt%55~x~=65,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.4~x~=0.5,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20.1~x~=0.2,Anodic Platinum Loading Amount mgPt cm-20.1~x~=0.2,Anodic catalyst type x wt% Pt/C20~x~=40,membrane thickness25~x~=50,Hot Press Temperature120~x~=130,Hot Press Time min0~x~=2,Hot Press Pressure Mpaover 10,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.7~x~=1,Area cm21~x~=4,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20~x~=0.1,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness0~x~=25,Hot Press Temperature120~x~=130,Hot Press Time min2~x~=3,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%0,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature0~=x~=25,Reduction Time/min5~x~=15,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.4~x~=0.5,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.2~x~=0.3,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness75~x~=100,Hot Press Temperature120~x~=130,Hot Press Time min2~x~=3,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp40~x~=60,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0~x~=1bar,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%75~x~=85,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.25~x~=0.4,Area cm21~x~=4,Cathodic Loading Amount mgPt cm-20.1~x~=0.2,Anodic Platinum Loading Amount mgPt cm-20.1~x~=0.2,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min0~x~=2,Hot Press Pressure Mpa0~x~=4,Humidity %0,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%75~x~=85,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.25~x~=0.4,Area cm21~x~=4,Cathodic Loading Amount mgPt cm-20.1~x~=0.2,Anodic Platinum Loading Amount mgPt cm-20.1~x~=0.2,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min0~x~=2,Hot Press Pressure Mpa0~x~=4,Humidity %0,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%75~x~=85,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.25~x~=0.4,Area cm21~x~=4,Cathodic Loading Amount mgPt cm-20.1~x~=0.2,Anodic Platinum Loading Amount mgPt cm-20.1~x~=0.2,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness100~x~=125,Hot Press Temperature130~x~=140,Hot Press Time min0~x~=2,Hot Press Pressure Mpa0~x~=4,Humidity %0,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%0~x~=5,C wt%95~x~100,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature0~=x~=25,Reduction Time/min2~x~=5,Annealing Temperature25,ECSA m2/g0~x~=50,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20~x~=0.1,Anodic Platinum Loading Amount mgPt cm-20.2~x~=0.3,Anodic catalyst type x wt% Pt/C20~x~=40,membrane thickness100~x~=125,Hot Press Temperature120~x~=130,Hot Press Time min0~x~=2,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-10~x~=150,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%0~x~=5,C wt%95~x~100,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature0~=x~=25,Reduction Time/min5~x~=15,Annealing Temperature25,ECSA m2/g0~x~=50,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20.1~x~=0.2,Anodic Platinum Loading Amount mgPt cm-20.2~x~=0.3,Anodic catalyst type x wt% Pt/C20~x~=40,membrane thickness100~x~=125,Hot Press Temperature120~x~=130,Hot Press Time min0~x~=2,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-10~x~=150,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%5~x~=15,C wt%85~x~=95,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature0~=x~=25,Reduction Time/min5~x~=15,Annealing Temperature25,ECSA m2/g0~x~=50,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20.2~x~=0.3,Anodic Platinum Loading Amount mgPt cm-20.2~x~=0.3,Anodic catalyst type x wt% Pt/C20~x~=40,membrane thickness100~x~=125,Hot Press Temperature120~x~=130,Hot Press Time min0~x~=2,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-10~x~=150,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%5~x~=15,C wt%85~x~=95,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature0~=x~=25,Reduction Time/min15~x~=30,Annealing Temperature25,ECSA m2/g0~x~=50,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.2~x~=0.3,Anodic catalyst type x wt% Pt/C20~x~=40,membrane thickness100~x~=125,Hot Press Temperature120~x~=130,Hot Press Time min0~x~=2,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-10~x~=150,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%75~x~=85,Particle diameter £¨nm£©2~x=3,support BET surface area(m2/g)150~x~=250,Reduction Temperature100~x~=140,Reduction Time/min120~x~=240,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.5~x~=0.7,Area cm21~x~=4,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness25~x~=50,Hot Press Temperature120~x~=130,Hot Press Time min2~x~=3,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%75~x~=85,Particle diameter £¨nm£©2~x=3,support BET surface area(m2/g)150~x~=250,Reduction Temperature100~x~=140,Reduction Time/min120~x~=240,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.5~x~=0.7,Area cm21~x~=4,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness25~x~=50,Hot Press Temperature120~x~=130,Hot Press Time min2~x~=3,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element45~x~=55,Co at% in metal element0,total metal mass ratio wt%15~x~=25,C wt%75~x~=85,Particle diameter £¨nm£©2~x=3,support BET surface area(m2/g)450~x~=700,Reduction Temperature0~=x~=25,Reduction Time/min120~x~=240,Annealing Temperature25,ECSA m2/g0~x~=50,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)over 1,Area cm25~x~=10,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness25~x~=50,Hot Press Temperature120~x~=130,Hot Press Time min2~x~=3,Hot Press Pressure Mpaover 10,Humidity %90~x~=100,GDE,celltemp40~x~=60,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0~x~=1bar,oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%5~x~=15,C wt%85~x~=95,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature0~=x~=25,Reduction Time/min0,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.25~x~=0.4,Area cm24~x~=5,Cathodic Loading Amount mgPt cm-20~x~=0.1,Anodic Platinum Loading Amount mgPt cm-20~x~=0.1,Anodic catalyst type x wt% Pt/C0~x~=20,membrane thickness25~x~=50,Hot Press Temperature120~x~=130,Hot Press Time min2~x~=3,Hot Press Pressure Mpa6~x~=8,Humidity %60~x~=80,GDE,celltemp60~x~=70,Flowing rate of H2 ml min-1150~x~=200,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %60~x~=80,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %60~x~=80,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0~x~=0.25,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.4~x~=0.5,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.4~x~=0.5,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.4~x~=0.5,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %60~x~=80,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.4~x~=0.5,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.4~x~=0.5,Anodic Platinum Loading Amount mgPt cm-20.4~x~=0.5,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.5~x~=0.7,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.5~x~=0.7,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %20~x~=60,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.5~x~=0.7,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %60~x~=80,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
Pt at% in metal element100,Co at% in metal element0,total metal mass ratio wt%45~x~=55,C wt%45~x~=55,Particle diameter £¨nm£©3~x=4,support BET surface area(m2/g)150~x~=250,Reduction Temperature180~x~=200,Reduction Time/min0~x~=2,Annealing Temperature25,ECSA m2/g50~x~=70,Mass Activity mA mg-1200~x~=300,I/C Ratio(ionomer/catalyst)0.5~x~=0.7,Area cm210~x~=25,Cathodic Loading Amount mgPt cm-20.3~x~=0.4,Anodic Platinum Loading Amount mgPt cm-20.3~x~=0.4,Anodic catalyst type x wt% Pt/C40~x~=60,membrane thickness25~x~=50,Hot Press Temperature130~x~=140,Hot Press Time min3~x~=4,Hot Press Pressure Mpa5~x~=6,Humidity %90~x~=100,CCM,celltemp60~x~=70,Flowing rate of H2 ml min-1200~x~=300,flowing rate of cathode gas(O2/air)200~x~=300,Back Pressure Mpa0,air cathode.2oxygen cathode,low MPD
